transition,t0,t1,mmd,moment_error,sliced_wasserstein,mi_mean,mi_median,model,seed,ablation,prediction_finite_fraction,prediction_out_of_bounds_fraction,numerically_stable,prediction_diagnostics_origin,prediction_min,prediction_max
14_to_28,14.0,28.0,0.2029566019773483,0.0364933870732784,0.0420185923576355,0.5745749473571777,0.5774986147880554,,20260825,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
0_to_0.25,0.0,0.25,0.1178045719861984,0.0320441387593746,0.0383127219974994,0.164278894662857,0.1589380651712417,,20260826,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.25_to_0.5,0.25,0.5,0.0491368919610977,0.0151415821164846,0.0149614652618765,0.3409506976604461,0.3470844626426697,,20260826,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.5_to_1,0.5,1.0,0.0299075990915298,0.0091328788548707,0.0099919065833091,0.4281516969203949,0.4282886385917663,,20260826,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
1_to_3,1.0,3.0,0.0380471423268318,0.010199069045484,0.0129734529182314,0.4230982065200805,0.4116600453853607,,20260826,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
3_to_7,3.0,7.0,0.082777589559555,0.0225508194416761,0.0242053624242544,0.4880050420761108,0.473880797624588,,20260826,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
7_to_14,7.0,14.0,0.2160608768463134,0.0643764808773994,0.073243647813797,0.4734801054000854,0.4645169377326965,,20260826,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
14_to_28,14.0,28.0,0.0782419294118881,0.007976452820003,0.0193842034786939,0.4603785276412964,0.4664925634860992,,20260826,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
0_to_0.25,0.0,0.25,0.1227388009428978,0.0337457619607448,0.034033827483654,0.2012515664100647,0.1961749196052551,,20260827,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.25_to_0.5,0.25,0.5,0.0679092705249786,0.0211987271904945,0.0223549082875251,0.3792949616909027,0.387392908334732,,20260827,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.5_to_1,0.5,1.0,0.0278966687619686,0.0083451205864548,0.0089630419388413,0.4514363408088684,0.4537603855133056,,20260827,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
1_to_3,1.0,3.0,0.1010189056396484,0.0317725464701652,0.0341775268316268,0.3833576738834381,0.3792172372341156,,20260827,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
3_to_7,3.0,7.0,0.0209439098834991,0.004820636473596,0.0066685006022453,0.578907310962677,0.5748944878578186,,20260827,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
7_to_14,7.0,14.0,0.0162145532667636,0.0016125941183418,0.0047892942093312,0.6747036576271057,0.6791015863418579,,20260827,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
14_to_28,14.0,28.0,0.1616597473621368,0.0275691170245409,0.0431361198425293,0.514331042766571,0.5200778245925903,,20260827,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
0_to_0.25,0.0,0.25,0.0658819302916526,0.0164791010320186,0.0194421354681253,0.0497588999569416,0.0474098175764083,,20260828,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.25_to_0.5,0.25,0.5,0.0318448394536972,0.0089837871491909,0.0096246022731065,0.1221735998988151,0.1233756765723228,,20260828,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.5_to_1,0.5,1.0,0.0167477279901504,0.0042197643779218,0.0051687625236809,0.1770499497652053,0.1745317876338958,,20260828,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
1_to_3,1.0,3.0,0.067644864320755,0.0198528226464986,0.0198960080742836,0.2875564992427826,0.273185133934021,,20260828,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
3_to_7,3.0,7.0,0.0992446914315223,0.029173694550991,0.0357017815113067,0.5339255928993225,0.5276280641555786,,20260828,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
7_to_14,7.0,14.0,0.1486636996269226,0.0413930267095565,0.0386129431426525,0.5103192329406738,0.5063299536705017,,20260828,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
14_to_28,14.0,28.0,0.2171520739793777,0.0408527366816997,0.0571418143808841,0.541310727596283,0.5449259281158447,,20260828,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
0_to_0.25,0.0,0.25,0.0636609643697738,0.015835840255022,0.01506810169667,0.148620143532753,0.1443038582801818,,20260829,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.25_to_0.5,0.25,0.5,0.0309722516685724,0.008752791211009,0.0094705019146204,0.288570374250412,0.2928627431392669,,20260829,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.5_to_1,0.5,1.0,0.0163046717643737,0.0041356878355145,0.0046632015146315,0.3534015417098999,0.3524722754955292,,20260829,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
1_to_3,1.0,3.0,0.0484796985983848,0.014102523215115,0.0151331424713134,0.3713563978672027,0.3543304800987243,,20260829,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
3_to_7,3.0,7.0,0.0341630652546882,0.0087779927998781,0.0112602515146136,0.5782782435417175,0.5740715265274048,,20260829,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
7_to_14,7.0,14.0,0.0161792822182178,0.0015365511644631,0.0046513359993696,0.6047552227973938,0.6081981658935547,,20260829,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
14_to_28,14.0,28.0,0.0740457624197006,0.0107398452237248,0.0172890089452266,0.4178394377231598,0.4234599769115448,,20260829,no_graph,1.0,0.0,True,measured_from_predictions,0.0669360980391502,1.0
0_to_0.25,0.0,0.25,0.0654254853725433,0.0164161697030067,0.015620581805706,0.2099929749965667,0.2039200812578201,,20260825,no_constraints,1.0,0.0817932922655715,True,measured_from_predictions,-0.0095256622880697,1.038719654083252
0.25_to_0.5,0.25,0.5,0.0324565172195434,0.0091289542615413,0.0094130057841539,0.3575575351715088,0.3547490835189819,,20260825,no_constraints,1.0,0.0288850869689193,True,measured_from_predictions,-0.0079466998577117,1.0117990970611572
0.5_to_1,0.5,1.0,0.0171234849840402,0.0047239875420928,0.0054246573708951,0.4322271049022674,0.4299451112747192,,20260825,no_constraints,1.0,0.0248462748462748,True,measured_from_predictions,-0.0202688630670309,1.0267488956451416
1_to_3,1.0,3.0,0.0433922410011291,0.0115098785609006,0.0145851746201515,0.4088421165943146,0.3971001505851745,,20260825,no_constraints,1.0,0.0183228225668996,True,measured_from_predictions,-0.0746211633086204,1.1277906894683838
3_to_7,3.0,7.0,0.0828344076871872,0.0246788058429956,0.0206191875040531,0.5074251294136047,0.4967323541641235,,20260825,no_constraints,1.0,0.0646637816245006,True,measured_from_predictions,-0.2160460799932479,1.1289911270141602
7_to_14,7.0,14.0,0.1697484999895095,0.0468026436865329,0.050101600587368,0.5040068626403809,0.4957784712314605,,20260825,no_constraints,1.0,0.0639737025096403,True,measured_from_predictions,-0.4090783894062042,1.5327796936035156
14_to_28,14.0,28.0,0.030744582414627,0.0026856609620153,0.0155083164572715,0.4873070418834686,0.4893728196620941,,20260825,no_constraints,1.0,0.0802171800397177,True,measured_from_predictions,-1.2246452569961548,1.7123467922210691
0_to_0.25,0.0,0.25,0.1162987947463989,0.0315181463956832,0.0333832539618015,0.1936381608247757,0.1834021657705307,,20260826,no_constraints,1.0,0.030882305009615,True,measured_from_predictions,-0.0200451724231243,1.0409516096115112
