parameter_1,parameter_2,pearson_correlation
mechanistic_gate_C,gamma_V,0.044321090462772175
mechanistic_gate_F,gamma_V,0.57557154297647
mechanistic_gate_I,gamma_V,-0.1939647553026161
mechanistic_gate_M,gamma_V,-0.4717715039857136
mechanistic_gate_V,gamma_V,0.6668325126798185
residual_scale_A,gamma_V,-0.21658493636137793
residual_scale_C,gamma_V,-0.13190934420842618
residual_scale_F,gamma_V,0.6412432721511481
residual_scale_I,gamma_V,-0.2968916575487092
residual_scale_M,gamma_V,-0.3881012112689893
residual_scale_V,gamma_V,-0.8137036276442059
alpha_A,mechanistic_gate_A,0.6405550609976421
alpha_C,mechanistic_gate_A,-0.16696861766292806
alpha_F,mechanistic_gate_A,0.5287031440388631
alpha_I,mechanistic_gate_A,-0.4496301409053676
alpha_M,mechanistic_gate_A,-0.26692801446106884
alpha_V,mechanistic_gate_A,-0.026535210248239655
beta_A,mechanistic_gate_A,-0.044770512705227285
beta_C,mechanistic_gate_A,0.34194896548313614
beta_F,mechanistic_gate_A,0.2715385171036629
beta_I,mechanistic_gate_A,0.08896810659339427
beta_M,mechanistic_gate_A,-0.1689678217505682
beta_V,mechanistic_gate_A,-0.25839001513237286
gamma_C,mechanistic_gate_A,0.07683276061720314
gamma_M,mechanistic_gate_A,-0.2858323726056862
gamma_V,mechanistic_gate_A,0.3392081813759787
mechanistic_gate_A,mechanistic_gate_A,1.0
mechanistic_gate_C,mechanistic_gate_A,-0.0669581870178544
mechanistic_gate_F,mechanistic_gate_A,0.4637656035331644
mechanistic_gate_I,mechanistic_gate_A,-0.2511366957323618
mechanistic_gate_M,mechanistic_gate_A,-0.31007214586781656
mechanistic_gate_V,mechanistic_gate_A,-0.0012924506757820786
residual_scale_A,mechanistic_gate_A,-0.4275999387833316
residual_scale_C,mechanistic_gate_A,-0.2029233750048862
residual_scale_F,mechanistic_gate_A,0.5054738842851028
residual_scale_I,mechanistic_gate_A,-0.16931878554074486
residual_scale_M,mechanistic_gate_A,-0.2865458728879932
residual_scale_V,mechanistic_gate_A,-0.2168867079902573
alpha_A,mechanistic_gate_C,-0.3638649686514772
alpha_C,mechanistic_gate_C,0.9360538798169635
alpha_F,mechanistic_gate_C,0.3271300059794308
alpha_I,mechanistic_gate_C,0.368409432282574
alpha_M,mechanistic_gate_C,0.6360022256036593
alpha_V,mechanistic_gate_C,0.46139407571499963
beta_A,mechanistic_gate_C,0.10292723942923551
beta_C,mechanistic_gate_C,-0.6478181385269177
beta_F,mechanistic_gate_C,0.4194148647675249
beta_I,mechanistic_gate_C,-0.5615177294706593
beta_M,mechanistic_gate_C,0.6018344496940196
beta_V,mechanistic_gate_C,-0.06981067821410455
gamma_C,mechanistic_gate_C,0.6286217860634704
gamma_M,mechanistic_gate_C,0.6680846557541993
gamma_V,mechanistic_gate_C,0.044321090462772175
mechanistic_gate_A,mechanistic_gate_C,-0.0669581870178544
mechanistic_gate_C,mechanistic_gate_C,1.0
mechanistic_gate_F,mechanistic_gate_C,0.3900247832524963
mechanistic_gate_I,mechanistic_gate_C,-0.6098364527861426
mechanistic_gate_M,mechanistic_gate_C,0.681346713718709
mechanistic_gate_V,mechanistic_gate_C,0.4192926356586729
residual_scale_A,mechanistic_gate_C,0.012839462534375748
residual_scale_C,mechanistic_gate_C,-0.04937976816615025
residual_scale_F,mechanistic_gate_C,-0.3661411033345901
residual_scale_I,mechanistic_gate_C,-0.5121326172872711
residual_scale_M,mechanistic_gate_C,-0.6209219492037968
residual_scale_V,mechanistic_gate_C,-0.1235003243083464
alpha_A,mechanistic_gate_F,0.3623210230725694
alpha_C,mechanistic_gate_F,0.2720785904751545
alpha_F,mechanistic_gate_F,0.9764293571190956
alpha_I,mechanistic_gate_F,0.09115223915168526
alpha_M,mechanistic_gate_F,-0.009147934878040003
alpha_V,mechanistic_gate_F,0.36116663308777214
beta_A,mechanistic_gate_F,-0.42149585199613354
beta_C,mechanistic_gate_F,-0.02923510901983564
beta_F,mechanistic_gate_F,0.879091634488387
beta_I,mechanistic_gate_F,-0.5166655428219046
beta_M,mechanistic_gate_F,-0.08195220824606433
beta_V,mechanistic_gate_F,-0.6180481138943411
gamma_C,mechanistic_gate_F,0.3262446715676809
gamma_M,mechanistic_gate_F,0.06111535949003897
gamma_V,mechanistic_gate_F,0.57557154297647
mechanistic_gate_A,mechanistic_gate_F,0.4637656035331644
mechanistic_gate_C,mechanistic_gate_F,0.3900247832524963
mechanistic_gate_F,mechanistic_gate_F,1.0
mechanistic_gate_I,mechanistic_gate_F,-0.7486587615181804
mechanistic_gate_M,mechanistic_gate_F,-0.0024351522960361174
mechanistic_gate_V,mechanistic_gate_F,0.3529641679512388
residual_scale_A,mechanistic_gate_F,-0.4284872343487641
residual_scale_C,mechanistic_gate_F,-0.12481594096724877
residual_scale_F,mechanistic_gate_F,0.46826529119138016
residual_scale_I,mechanistic_gate_F,-0.32622112490119115
residual_scale_M,mechanistic_gate_F,-0.5418514048059663
residual_scale_V,mechanistic_gate_F,-0.4877809523858332
alpha_A,mechanistic_gate_I,0.11391355511685601
alpha_C,mechanistic_gate_I,-0.6093323642976728
alpha_F,mechanistic_gate_I,-0.6646516971910192
alpha_I,mechanistic_gate_I,-0.37494767702128906
alpha_M,mechanistic_gate_I,-0.44417368555992653
alpha_V,mechanistic_gate_I,-0.5117966566175095
beta_A,mechanistic_gate_I,0.09088446165941866
beta_C,mechanistic_gate_I,0.4155746072060423
beta_F,mechanistic_gate_I,-0.7198243655755786
beta_I,mechanistic_gate_I,0.8179108513153164
beta_M,mechanistic_gate_I,-0.13216717270354802
beta_V,mechanistic_gate_I,0.41940634014827594
gamma_C,mechanistic_gate_I,-0.349857127150465
gamma_M,mechanistic_gate_I,-0.45360859020673316
gamma_V,mechanistic_gate_I,-0.1939647553026161
mechanistic_gate_A,mechanistic_gate_I,-0.2511366957323618
mechanistic_gate_C,mechanistic_gate_I,-0.6098364527861426
mechanistic_gate_F,mechanistic_gate_I,-0.7486587615181804
mechanistic_gate_I,mechanistic_gate_I,1.0
mechanistic_gate_M,mechanistic_gate_I,-0.41370856256998306
mechanistic_gate_V,mechanistic_gate_I,-0.41654539458872486
residual_scale_A,mechanistic_gate_I,0.4775454086611402
residual_scale_C,mechanistic_gate_I,0.29263827927959657
residual_scale_F,mechanistic_gate_I,0.01842653343361568
residual_scale_I,mechanistic_gate_I,0.21873311697179484
residual_scale_M,mechanistic_gate_I,0.6013768133199212
residual_scale_V,mechanistic_gate_I,0.29459401936007307
alpha_A,mechanistic_gate_M,-0.5997687125787184
alpha_C,mechanistic_gate_M,0.8267143427251715
alpha_F,mechanistic_gate_M,-0.06607771110548427
alpha_I,mechanistic_gate_M,0.5932677347846763
alpha_M,mechanistic_gate_M,0.9762674690459234
alpha_V,mechanistic_gate_M,0.3805402526600818
beta_A,mechanistic_gate_M,0.058188858701641276
beta_C,mechanistic_gate_M,-0.8951510314784773
beta_F,mechanistic_gate_M,0.1359682678127731
beta_I,mechanistic_gate_M,-0.6254862714802015
beta_M,mechanistic_gate_M,0.6049236604379733
beta_V,mechanistic_gate_M,0.16978858553958878
gamma_C,mechanistic_gate_M,0.2870794088440979
gamma_M,mechanistic_gate_M,0.9887251866170776
gamma_V,mechanistic_gate_M,-0.4717715039857136
mechanistic_gate_A,mechanistic_gate_M,-0.31007214586781656
mechanistic_gate_C,mechanistic_gate_M,0.681346713718709
mechanistic_gate_F,mechanistic_gate_M,-0.0024351522960361174
mechanistic_gate_I,mechanistic_gate_M,-0.41370856256998306
mechanistic_gate_M,mechanistic_gate_M,1.0
mechanistic_gate_V,mechanistic_gate_M,0.21511321394638913
residual_scale_A,mechanistic_gate_M,0.022773684892212567
residual_scale_C,mechanistic_gate_M,-0.2182715679730935
residual_scale_F,mechanistic_gate_M,-0.7661399015801235
residual_scale_I,mechanistic_gate_M,-0.1858690796201829
residual_scale_M,mechanistic_gate_M,-0.3843325657721745
residual_scale_V,mechanistic_gate_M,0.11196229586466716
alpha_A,mechanistic_gate_V,-0.40367698893678244
alpha_C,mechanistic_gate_V,0.3855244317517672
alpha_F,mechanistic_gate_V,0.3149724763709495
alpha_I,mechanistic_gate_V,0.6017179993018894
alpha_M,mechanistic_gate_V,0.3034035195228395
alpha_V,mechanistic_gate_V,0.9708391532642825
beta_A,mechanistic_gate_V,0.31129437255765663
beta_C,mechanistic_gate_V,-0.4302492781959149
beta_F,mechanistic_gate_V,0.4391644319031157
beta_I,mechanistic_gate_V,-0.6328740458762894
beta_M,mechanistic_gate_V,-0.0768948061736843
beta_V,mechanistic_gate_V,-0.7621197388089115
gamma_C,mechanistic_gate_V,0.3938009902158784
gamma_M,mechanistic_gate_V,0.271339827597375
gamma_V,mechanistic_gate_V,0.6668325126798185
mechanistic_gate_A,mechanistic_gate_V,-0.0012924506757820786
mechanistic_gate_C,mechanistic_gate_V,0.4192926356586729
mechanistic_gate_F,mechanistic_gate_V,0.3529641679512388
mechanistic_gate_I,mechanistic_gate_V,-0.41654539458872486
mechanistic_gate_M,mechanistic_gate_V,0.21511321394638913
mechanistic_gate_V,mechanistic_gate_V,1.0
residual_scale_A,mechanistic_gate_V,-0.2191552533886955
residual_scale_C,mechanistic_gate_V,-0.42041345902822946
residual_scale_F,mechanistic_gate_V,-0.005078838028708705
